ISO 639 code	BCP-47 code	Number of speakers (rounded)	Writing system(s), ISO 15924	Name (Glottolog)	Glottocode (Glottolog)	Region, ISO 3166 (Glottolog)	Link to Glottolog	Alternative Name(s)	Endonym	Link to Wikipedia
smj	smj	<10K	Latn	Lule Saami	lule1254	NO, SE	https://glottolog.org/resource/languoid/id/lule1254			https://en.wikipedia.org/w/index.php?title=ISO_639:smj
smk	smk	10K-100K	Latn	Bolinao	boli1256	PH	https://glottolog.org/resource/languoid/id/boli1256			https://en.wikipedia.org/w/index.php?title=ISO_639:smk
sml	sml	400000	Latn	Central Sama	cent2092	PH	https://glottolog.org/resource/languoid/id/cent2092			https://en.wikipedia.org/w/index.php?title=ISO_639:sml
smn	smn	<10K	Latn	Inari Saami	inar1241	FI, NO	https://glottolog.org/resource/languoid/id/inar1241			https://en.wikipedia.org/w/index.php?title=ISO_639:smn
smo	sm	500000	Latn	Samoan	samo1305	AS, WS	https://glottolog.org/resource/languoid/id/samo1305		Gagana Sāmoa	https://en.wikipedia.org/w/index.php?title=ISO_639:smo
smq	smq	<10K	Latn	Samo	samo1303	PG	https://glottolog.org/resource/languoid/id/samo1303			https://en.wikipedia.org/w/index.php?title=ISO_639:smq
sms	sms	<10K	Latn	Skolt Saami	skol1241	FI, NO, RU	https://glottolog.org/resource/languoid/id/skol1241			https://en.wikipedia.org/w/index.php?title=ISO_639:sms
smt	smt	10K-100K	Latn	Simte	simt1238	IN	https://glottolog.org/resource/languoid/id/simt1238			https://en.wikipedia.org/w/index.php?title=ISO_639:smt
smw	smw	300000	Latn	Sumbawa	sumb1241	ID	https://glottolog.org/resource/languoid/id/sumb1241			https://en.wikipedia.org/w/index.php?title=ISO_639:smw
sna	sn	9000000	Latn	Shona	shon1251	BW, ZA, ZM, ZW	https://glottolog.org/resource/languoid/id/shon1251			https://en.wikipedia.org/w/index.php?title=ISO_639:sna
snc	snc	10K-100K	Latn	Sinaugoro	sina1266	PG	https://glottolog.org/resource/languoid/id/sina1266			https://en.wikipedia.org/w/index.php?title=ISO_639:snc
snd	sd	32000000	Arab,Deva,Guru,Khoj,Latn,Sind	Sindhi	sind1272	IN, PK	https://glottolog.org/resource/languoid/id/sind1272		Sindhi, सिन्धी, ਸਿੰਧੀ, سنڌي	https://en.wikipedia.org/w/index.php?title=ISO_639:snd
snf	snf	10K-100K	Latn	Noon	noon1242	SN	https://glottolog.org/resource/languoid/id/noon1242			https://en.wikipedia.org/w/index.php?title=ISO_639:snf
sng	sng	400000	Latn	Sanga (Democratic Republic of Congo)	sang1331	CD	https://glottolog.org/resource/languoid/id/sang1331			https://en.wikipedia.org/w/index.php?title=ISO_639:sng
snk	snk	2000000	Latn	Soninke	soni1259	GM, GN, GW, ML, MR, SN	https://glottolog.org/resource/languoid/id/soni1259		Sooninkanxanne	https://en.wikipedia.org/w/index.php?title=ISO_639:snk
snn	snn	<10K	Latn	Siona-Tetete	sion1247	CO, EC	https://glottolog.org/resource/languoid/id/sion1247			https://en.wikipedia.org/w/index.php?title=ISO_639:snn
snp	snp	10K-100K	Latn	Siane	sian1257	PG	https://glottolog.org/resource/languoid/id/sian1257			https://en.wikipedia.org/w/index.php?title=ISO_639:snp
snw	snw	10K-100K	Latn	Selee	sele1249	GH	https://glottolog.org/resource/languoid/id/sele1249			https://en.wikipedia.org/w/index.php?title=ISO_639:snw
snx	snx	<10K	Latn	Sam	samm1244	PG	https://glottolog.org/resource/languoid/id/samm1244			https://en.wikipedia.org/w/index.php?title=ISO_639:snx
sny	sny	<10K	Latn	Saniyo-Hiyewe	sani1270	PG	https://glottolog.org/resource/languoid/id/sani1270			https://en.wikipedia.org/w/index.php?title=ISO_639:sny
soa	soa	10K-100K	Tavt,Thai	Thai Song	thai1259	TH	https://glottolog.org/resource/languoid/id/thai1259			https://en.wikipedia.org/w/index.php?title=ISO_639:soa
soe	soe	10K-100K	Latn	Ohendo	song1305	CD	https://glottolog.org/resource/languoid/id/song1305			https://en.wikipedia.org/w/index.php?title=ISO_639:soe
sok	sok	<10K	Latn	Sokoro	soko1263	TD	https://glottolog.org/resource/languoid/id/soko1263			https://en.wikipedia.org/w/index.php?title=ISO_639:sok
som	so	24000000	Arab,Latn,Osma	Somali	soma1255	DJ, ET, KE, SO	https://glottolog.org/resource/languoid/id/soma1255			https://en.wikipedia.org/w/index.php?title=ISO_639:som
sop	sop	1000000	Latn	Songe	song1303	CD	https://glottolog.org/resource/languoid/id/song1303		Kisongye	https://en.wikipedia.org/w/index.php?title=ISO_639:sop
soq	soq	<10K	Latn	Kanasi	kana1288	PG	https://glottolog.org/resource/languoid/id/kana1288			https://en.wikipedia.org/w/index.php?title=ISO_639:soq
sot	st	14000000	Latn	Southern Sotho	sout2807	LS, ZA	https://glottolog.org/resource/languoid/id/sout2807	Sotho	Sesotho	https://en.wikipedia.org/w/index.php?title=ISO_639:sot
sou	sou	4000000	Thai	Southern Thai	sout2746	MY, MM, TH	https://glottolog.org/resource/languoid/id/sout2746		ภาษาปักษ์ใต้	https://en.wikipedia.org/w/index.php?title=ISO_639:sou
soy	soy	10K-100K	Latn	Miyobe	miyo1238	BJ, TG	https://glottolog.org/resource/languoid/id/miyo1238			https://en.wikipedia.org/w/index.php?title=ISO_639:soy
spa	es	490000000	Latn	Spanish	stan1288	AD, AR, BZ, BO, BR, CL, CO, CR, CU, DO, EC, SV, FR, GI, GT, GY, HT, HN, MX, MA, NI, PA, PY, PE, PT, PR, ES, US, UY, VE	https://glottolog.org/resource/languoid/id/stan1288		español, castellano	https://en.wikipedia.org/w/index.php?title=ISO_639:spa
spd	spd	<10K	Latn	Saep	saep1240	PG	https://glottolog.org/resource/languoid/id/saep1240			https://en.wikipedia.org/w/index.php?title=ISO_639:spd
spl	spl	<10K	Latn	Selepet	sele1250	PG	https://glottolog.org/resource/languoid/id/sele1250			https://en.wikipedia.org/w/index.php?title=ISO_639:spl
spm	spm	<10K	Latn	Sepen	sepe1240	PG	https://glottolog.org/resource/languoid/id/sepe1240			https://en.wikipedia.org/w/index.php?title=ISO_639:spm
spp	spp	500000	Latn	Supyire Senoufo	supy1237	BF, CI, ML	https://glottolog.org/resource/languoid/id/supy1237		Supyire	https://en.wikipedia.org/w/index.php?title=ISO_639:spp
sps	sps	<10K	Latn	Saposa	sapo1253	PG	https://glottolog.org/resource/languoid/id/sapo1253			https://en.wikipedia.org/w/index.php?title=ISO_639:sps
spv	spv	500000	Orya	Sambalpuri	samb1325	IN	https://glottolog.org/resource/languoid/id/samb1325			https://en.wikipedia.org/w/index.php?title=ISO_639:spv
spy	spy	200000	Latn	Sabaot	saba1262	KE, UG	https://glottolog.org/resource/languoid/id/saba1262			https://en.wikipedia.org/w/index.php?title=ISO_639:spy
sqi	sq	5000000	Elba,Latn	Albanian	alba1267	AL	https://glottolog.org/resource/languoid/id/alba1267			https://en.wikipedia.org/w/index.php?title=ISO_639:sqi
squ	squ	<10K	Latn	Squamish	squa1248	CA	https://glottolog.org/resource/languoid/id/squa1248			https://en.wikipedia.org/w/index.php?title=ISO_639:squ
srb	srb	300000	Latn,Orya,Sora,Telu	Sora	sora1254	IN	https://glottolog.org/resource/languoid/id/sora1254			https://en.wikipedia.org/w/index.php?title=ISO_639:srb
src	src	500000	Latn	Logudorese Sardinian	logu1236	IT	https://glottolog.org/resource/languoid/id/logu1236			https://en.wikipedia.org/w/index.php?title=ISO_639:src
srd	sc	1000000	Latn	Sardinian (macrolanguage)	n/a		n/a		Sardu	https://en.wikipedia.org/w/index.php?title=ISO_639:srd
sri	sri	<10K	Latn	Siriano	siri1274	BR, CO	https://glottolog.org/resource/languoid/id/siri1274			https://en.wikipedia.org/w/index.php?title=ISO_639:sri
srl	srl	<10K	Latn	Isirawa	isir1237	ID	https://glottolog.org/resource/languoid/id/isir1237			https://en.wikipedia.org/w/index.php?title=ISO_639:srl
srm	srm	10K-100K	Latn	Saramaccan	sara1340	GF, SR	https://glottolog.org/resource/languoid/id/sara1340			https://en.wikipedia.org/w/index.php?title=ISO_639:srm
srn	srn	100000	Latn	Sranan Tongo	sran1240	AW, NL, SR	https://glottolog.org/resource/languoid/id/sran1240		Sranantongo	https://en.wikipedia.org/w/index.php?title=ISO_639:srn
sro	sro	500000	Latn	Campidanese Sardinian	camp1261	IT	https://glottolog.org/resource/languoid/id/camp1261			https://en.wikipedia.org/w/index.php?title=ISO_639:sro
srp	sr	6000000	Cyrl,Latn	Serbian Standard	serb1264	AL, BA, BG, HR, HU, ME, MK, RO, RS	https://glottolog.org/resource/languoid/id/serb1264		Crnogorski	https://en.wikipedia.org/w/index.php?title=ISO_639:srp
srq	srq	<10K	Latn	Sirionó	siri1273	BO	https://glottolog.org/resource/languoid/id/siri1273			https://en.wikipedia.org/w/index.php?title=ISO_639:srq
srr	srr	1000000	Latn	Sereer	sere1260	GM, SN	https://glottolog.org/resource/languoid/id/sere1260		Seereer	https://en.wikipedia.org/w/index.php?title=ISO_639:srr
srv	srv	200000	Latn	Waray Sorsogon	wara1299	PH	https://glottolog.org/resource/languoid/id/wara1299			https://en.wikipedia.org/w/index.php?title=ISO_639:srv
srx	srx	400000	Deva,Takr	Sirmauri	sirm1239	IN	https://glottolog.org/resource/languoid/id/sirm1239			https://en.wikipedia.org/w/index.php?title=ISO_639:srx
ssb	ssb	200000	Latn	Southern Sama	sout2918	ID, MY, PH	https://glottolog.org/resource/languoid/id/sout2918			https://en.wikipedia.org/w/index.php?title=ISO_639:ssb
